IntCode,latitude,longitude,numacc,numones,meanspeed,maxdiffspeed,numroad,uniroad,ZipCode,StopSign,StopPerWay,TrafficLight,TrafficFlash,turnrestriction,noparking,vissigns,yielding,Complaints311,AccOverTime,STlist,STstr
21,40.42615208975222,-79.9874122199069,0.0,2,25.0,0.0,2.0,2.0,['15203'],0,,0,,0,2,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 11TH ST', 'MARY ANN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST MARY ANN ST
22,40.43005298032769,-79.98753529072023,0.07692307692307693,0,25.0,0.0,3.0,2.0,['15203'],1,1.5,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['S 11TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 11TH ST MURIEL ST
23,40.44607820680449,-79.99269162435469,0.07692307692307693,2,25.0,0.0,4.0,2.0,['15222'],1,2.0,0,,0,0,0,0,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['12TH ST', 'MULBERRY WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",12TH ST MULBERRY WAY
24,40.445763512293546,-79.99238824096491,0.6153846153846154,2,30.0,10.0,4.0,2.0,['15222'],0,,1,1.0,1,0,0,0,3,"[0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0]","['12TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",12TH ST PENN AVE
25,40.44635462158472,-79.99298655086058,0.9230769230769232,1,25.0,0.0,3.0,2.0,['15222'],1,2.0,0,,0,0,0,0,2,"[0, 0, 1, 1, 5, 0, 1, 0, 0, 0, 2, 1, 0, 1]","['12TH ST', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",12TH ST SMALLMAN ST
26,40.445217102577466,-79.99182107861516,1.3846153846153846,1,31.66666666666667,10.0,3.0,2.0,['15222'],1,2.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 2, 2, 1, 0, 2, 3, 1, 1, 3, 3]","['12TH ST', 'LIBERTY AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",12TH ST LIBERTY AVE
27,40.42842108635051,-79.98640860341433,0.07692307692307693,0,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['S 12TH ST', 'ROLAND WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST ROLAND WAY
28,40.427738321789576,-79.98635902485435,0.2307692307692308,2,25.0,0.0,4.0,2.0,['15203'],0,,1,1.0,5,2,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","['S 12TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST SARAH ST
29,40.42874964286053,-79.98642218871801,1.4615384615384617,0,30.0,10.0,4.0,2.0,['15203'],0,,1,1.0,0,2,0,0,2,"[1, 0, 1, 1, 2, 1, 3, 0, 1, 3, 0, 1, 2, 3]","['S 12TH ST', 'E CARSON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST E CARSON ST
30,40.430699636249344,-79.98647155343352,0.0,0,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 12TH ST', 'FIEGER WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST FIEGER WAY
31,40.42970876534764,-79.98645128519745,0.07692307692307693,2,25.0,0.0,3.0,2.0,['15203'],1,1.0,0,,2,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['S 12TH ST', 'BEDFORD SQ', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST BEDFORD SQ
32,40.430079134913775,-79.98646805368294,0.5384615384615384,0,25.0,0.0,4.0,2.0,['15203'],1,2.0,0,,0,2,0,0,1,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 1, 1]","['S 12TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST MURIEL ST
33,40.42718571035203,-79.98632364139928,0.0,1,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 12TH ST', 'BRADISH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST BRADISH ST
34,40.42664107185251,-79.98630199690584,0.0,1,25.0,0.0,3.0,2.0,['15203'],1,2.0,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 12TH ST', 'FREYBURG ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST FREYBURG ST
35,40.42915021518277,-79.98643905956948,0.0,2,25.0,0.0,3.0,2.0,['15203'],1,1.0,0,,1,0,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 12TH ST', 'BEDFORD SQ', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST BEDFORD SQ
36,40.42544715680904,-79.98563544255909,0.15384615384615385,0,25.0,0.0,3.0,3.0,['15203'],0,,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","['S 12TH ST', 'BROSVILLE ST', 'WELSH WAY', 'None', 'None', 'None', 'None', 'None', 'None']",S 12TH ST BROSVILLE ST WELSH WAY
37,40.44714322042653,-79.99179164442646,0.4615384615384616,0,25.0,0.0,4.0,2.0,['15222'],0,,1,0.0,2,0,0,2,3,"[0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1]","['13TH ST', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",13TH ST SMALLMAN ST
38,40.447771996427626,-79.99245935567407,0.0,0,25.0,0.0,3.0,2.0,['15222'],0,,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['13TH ST', 'WATERFRONT PL', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",13TH ST WATERFRONT PL
39,40.44683710420146,-79.99147057327944,0.0,0,25.0,0.0,3.0,2.0,['15222'],1,3.0,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['13TH ST', 'MULBERRY WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",13TH ST MULBERRY WAY
40,40.446537882894056,-79.99114793877754,0.3076923076923077,0,31.66666666666667,10.0,3.0,2.0,['15222'],1,3.0,0,,0,0,0,0,2,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['13TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",13TH ST PENN AVE
41,40.42844500779007,-79.98531436972233,0.0,0,25.0,0.0,3.0,2.0,['15203'],1,3.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 13TH ST', 'ROLAND WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST ROLAND WAY
42,40.42765878144435,-79.98529011944385,0.5384615384615384,2,25.0,0.0,4.0,2.0,['15203'],1,1.0,0,,0,0,0,0,4,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 1, 0]","['S 13TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST SARAH ST
43,40.428774953918655,-79.98532709739385,1.3846153846153846,0,30.0,10.0,4.0,2.0,['15203'],1,2.0,0,,0,1,0,0,1,"[0, 3, 1, 1, 0, 4, 1, 2, 0, 1, 0, 0, 3, 2]","['S 13TH ST', 'E CARSON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST E CARSON ST
44,40.43072375800785,-79.98540244258655,0.07692307692307693,0,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['S 13TH ST', 'FIEGER WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST FIEGER WAY
45,40.42944163635419,-79.98535637088948,0.0,1,25.0,0.0,4.0,2.0,['15203'],1,1.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 13TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST BINGHAM ST
46,40.43009881942165,-79.98537994066758,0.2307692307692308,0,25.0,0.0,4.0,2.0,['15203'],1,1.0,0,,0,0,0,0,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]","['S 13TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST MURIEL ST
47,40.42600363260967,-79.98522271218422,0.0,2,25.0,0.0,3.0,2.0,['15203'],1,1.0,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 13TH ST', 'BREED ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 13TH ST BREED ST
48,40.44766989164678,-79.99019084764879,0.0,0,25.0,0.0,3.0,2.0,['15222'],1,1.5,0,,0,1,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['14TH ST', 'MULBERRY WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",14TH ST MULBERRY WAY
49,40.4473540200638,-79.9898416040868,1.3846153846153846,0,30.0,10.0,4.0,2.0,['15222'],1,2.0,0,,0,0,0,0,3,"[0, 0, 0, 3, 5, 1, 0, 2, 2, 0, 1, 0, 1, 3]","['14TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",14TH ST PENN AVE
50,40.44796457561701,-79.9904998558918,0.6153846153846154,0,25.0,0.0,3.0,2.0,['15222'],1,3.0,1,0.0,0,0,0,0,1,"[0, 0, 0, 1, 1, 1, 2, 0, 2, 0, 1, 0, 0, 0]","['14TH ST', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",14TH ST SMALLMAN ST
51,40.446816136398134,-79.98922351431469,0.8461538461538461,0,31.66666666666667,10.0,3.0,2.0,['15222'],1,3.0,0,,0,0,0,0,2,"[0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0, 2]","['14TH ST', 'LIBERTY AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",14TH ST LIBERTY AVE
52,40.428799176881476,-79.98414573216641,0.5384615384615384,2,30.0,10.0,4.0,2.0,['15203'],0,,1,1.0,0,0,0,0,4,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2]","['S 14TH ST', 'E CARSON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST E CARSON ST
53,40.42763778616048,-79.98406865021,0.0,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,1,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 14TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST SARAH ST
54,40.42944864740628,-79.98414208516431,0.07692307692307693,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,2,0,0,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['S 14TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST BINGHAM ST
55,40.43012866078117,-79.98415651771991,0.15384615384615385,1,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","['S 14TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST MURIEL ST
56,40.429084722354744,-79.98414710274099,0.0,2,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 14TH ST', 'SANTA CLAUS WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST SANTA CLAUS WAY
57,40.425966946472826,-79.98413818766967,0.0,3,25.0,0.0,3.0,2.0,['15203'],1,0.0,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 14TH ST', 'BREED ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 14TH ST BREED ST
58,40.448684345158775,-79.98936271006336,0.7692307692307693,0,25.0,0.0,4.0,2.0,['15222'],1,2.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 0, 2, 1]","['15TH ST', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",15TH ST SMALLMAN ST
59,40.44937952207022,-79.99011577499677,0.0,0,25.0,0.0,3.0,2.0,['15222'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['15TH ST', 'WATERFRONT PL', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",15TH ST WATERFRONT PL
60,40.448349156091815,-79.9890039388319,0.0,0,25.0,0.0,3.0,2.0,['15222'],1,3.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['15TH ST', 'MULBERRY WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",15TH ST MULBERRY WAY
61,40.44806321383919,-79.98870421222833,0.7692307692307693,0,31.66666666666667,10.0,3.0,2.0,['15222'],1,3.0,0,,0,0,0,0,0,"[1, 0, 0, 3, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0]","['15TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",15TH ST PENN AVE
62,40.42762535204773,-79.98346908073499,0.07692307692307693,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST SARAH ST
63,40.42946908888703,-79.98340434984222,0.0,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,0,3,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST BINGHAM ST
64,40.430146487670974,-79.98337646663586,0.3076923076923077,1,25.0,0.0,3.0,2.0,['15203'],1,2.0,0,,0,2,0,0,3,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['S 15TH ST', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST MURIEL ST
65,40.42909890255617,-79.98341365528181,0.0,2,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'SANTA CLAUS WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST SANTA CLAUS WAY
66,40.425933930412974,-79.98353795171276,0.0,2,25.0,0.0,3.0,2.0,['15203'],0,,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'BREED ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST BREED ST
67,40.42505382465117,-79.98364714959665,0.0,0,25.0,0.0,2.0,2.0,['15203'],0,,0,,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'CLINTON ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST CLINTON ST
68,40.42473095678061,-79.98372987964284,0.0,2,31.66666666666667,10.0,3.0,2.0,['15203'],1,1.0,0,,1,0,0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 15TH ST', 'PIUS ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 15TH ST PIUS ST
69,40.44881618099839,-79.98750355133015,4.076923076923077,1,35.0,0.0,4.0,2.0,['15222'],0,,1,0.0,3,0,0,0,7,"[0, 0, 0, 4, 4, 8, 3, 5, 3, 12, 6, 1, 3, 4]","['16TH ST', 'PENN AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST PENN AVE
70,40.44849784429426,-79.98717489968232,0.38461538461538464,0,31.66666666666667,10.0,3.0,2.0,['15222'],0,,0,,1,1,0,0,1,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]","['16TH ST', 'SPRING WAY', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST SPRING WAY
71,40.44822122270017,-79.98688986528367,6.1538461538461515,0,35.0,0.0,3.0,2.0,['15222'],0,,1,0.0,2,0,0,0,3,"[0, 0, 0, 6, 2, 10, 6, 11, 9, 5, 8, 9, 5, 9]","['16TH ST', 'LIBERTY AVE', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST LIBERTY AVE
72,40.430141323890226,-79.98229381900542,0.0,0,25.0,0.0,4.0,3.0,['15203'],1,4.0,0,,1,2,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['16TH ST', 'FRANKLIN CT', 'MURIEL ST', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST FRANKLIN CT MURIEL ST
73,40.428540974615366,-79.98283644425219,0.07692307692307693,2,25.0,0.0,4.0,2.0,['15203'],0,,0,,1,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['S 16TH ST', 'ROLAND ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 16TH ST ROLAND ST
74,40.42760670558052,-79.9828711020606,0.07692307692307693,3,25.0,0.0,4.0,2.0,['15203'],1,0.5,0,,0,0,0,0,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['S 16TH ST', 'SARAH ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 16TH ST SARAH ST
75,40.43116884908332,-79.98261977373554,0.0,0,25.0,0.0,3.0,2.0,['15203'],1,3.0,0,,0,3,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['S 16TH ST', 'MERRIMAN CT', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 16TH ST MERRIMAN CT
76,40.42947957387108,-79.98268424942722,0.5384615384615384,4,25.0,0.0,4.0,2.0,['15203'],1,0.0,0,,1,1,0,0,4,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 0, 0]","['S 16TH ST', 'BINGHAM ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",S 16TH ST BINGHAM ST
77,40.45258670452698,-79.991979761497,0.0,0,31.66666666666667,10.0,3.0,3.0,['15212'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['16TH ST BRG', 'CHESTNUT ST', 'RIVER AVE', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST BRG CHESTNUT ST RIVER AVE
78,40.449430419082276,-79.9882202632438,0.0,0,30.0,10.0,2.0,2.0,['15222'],0,,0,,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['16TH ST BRG', 'SMALLMAN ST', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",16TH ST BRG SMALLMAN ST
